VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
YV4BR00K3M,Snohomish,Bothell,WA,98012,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,1,153808630,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052107
WBY1Z2C52F,Kitsap,Bremerton,WA,98312,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,26,183220649,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035081200
5YJ3E1EA5K,Yakima,Yakima,WA,98903,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,198205521,POINT (-120.5807155 46.5654909),PACIFICORP,53077002803
1N4BZ1CP1K,Snohomish,Snohomish,WA,98296,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,1,121646780,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052113
7PDSGABAXP,Snohomish,Brier,WA,98036,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,261988107,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051913
5YJSA1E20J,Snohomish,Lynnwood,WA,98036,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,32,185249781,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051500
5UX43EU04S,Yakima,Yakima,WA,98902,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,0,14,268086640,POINT (-120.530331 46.59534),PACIFICORP,53077000800
WBA5P7C0XM,King,Seattle,WA,98106,2021,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,34,273702026,POINT (-122.3570816 47.5337116),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010701
JTMFB3FV9M,Kitsap,Poulsbo,WA,98370,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,23,190236175,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090501
1C4JJXP69N,Kitsap,Port Orchard,WA,98367,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,26,202073777,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092902
